disposition,period,duration,depth,radius,equilibrium_t,insolation,stellar_temp,stellar_radius,stellar_logg,midpoint,ra,dec,magnitude,distance,label
FP,2.1713484,2.0172196,656.8860989,5.8181633,3127.2040524,22601.9485814,10249.0,2.16986,4.19,2459229.630046,112.357708,-12.69596,9.604,485.735,0
PC,1.9316462,3.166,1286.0,11.2154,4045.0,44464.5,7070.0,2.01,4.03,2459987.948873,122.580465,-5.513852,9.42344,295.862,1
FP,1.8675574,1.408,1500.0,23.7529,2037.0,2860.61,8924.0,5.73,4.33418,2459224.687802,104.726966,-10.580455,9.299501,943.109,0
FP,2.74323,3.167,383.41,10.504179950000001,1631.0,1177.36,5388.5,1.23,4.15,2458493.3957,110.559945,-25.207017,9.3003,7728.17,0
FP,3.5730141,3.37,755.0,11.3113,4260.0,54679.3,9219.0,2.15,4.14,2459987.047262,122.178195,-48.802811,9.1355,356.437,0
FP,4.5505945,2.654,3731.0,7.10841,1257.0,414.775,5613.0,1.09,4.33418,2459985.156855,120.704811,-11.101521,9.1309,100.711,0
FP,2.5047918,4.3797563,2270.5402194,8.6950898,1649.8220699,1750.932635,6616.0,1.53429,4.33418,2459229.984579,124.359239,-27.273521,9.2386,370.553,0
PC,6.9989206,3.953,2840.0,14.7752,1282.0,448.744,6596.0,2.7,3.71,2459247.930695,112.752393,-4.463359,8.87759,283.291,1
FP,2.0483755,2.767,483.0,3.19621,1175.80398775,5644.4,6858.5,1.57,4.2,2460258.236122,109.382839,13.395219,8.9362,144.297,0
PC,1.9600277,2.0065257,1707.6272693,10.504179950000001,1456.4246534,1063.3422958,8868.7,1.23,4.33418,2459229.230924,111.667845,-24.462111,8.4331,866.147,1
KP,1.4303699,1.6165994,18960.7122944,13.1874503,1525.9048089,1281.2408254,5600.0,0.890774,4.48851,2458326.009117,318.737012,-55.871863,12.4069,375.31,2
FP,0.6808702,2.4634563,1507.8006889,5.9115908,4382.0266062,87140.6995884,9438.0,1.0,4.33418,2459228.878101,112.293981,-21.832912,8.45086,485.122,0
PC,2.4704981,2.191,250.0,1.44656,1364.0,575.597,5413.7,0.94,4.46,2459984.627768,113.984761,-32.841999,8.2388,52.62,1
FP,5.4255548,3.9637474,14939.6342222,10.504179950000001,1037.2753045,273.5880696,8868.7,1.23,4.33418,2459232.248322,107.286063,-31.933523,7.6095,510.295,0
FP,1.4095184,0.9484999,2841.5103258,10.504179950000001,1625.6180218,1650.422071,9307.0,1.23,4.33418,2459985.657041,103.561602,-34.22282,7.678,224.672,0
FP,1.3730466,2.5708515,1301.5065338,42.1479417,1912.3318636,3160.6328329,4897.0,6.7996101,4.33418,2459963.610065,122.895964,-27.971896,10.7069,906.496,0
FP,12.6889415,7.9201001,3232.8527885,14.0608342,1158.1310368,425.1594177,7601.0,1.53641,4.31,2459238.831138,116.110771,-36.098285,10.6257,368.646,0
FP,1.10422,2.37,14177.7,21.0448,3926.0,39459.3,6995.2,1.61,4.07,2458518.96536,124.726411,-37.78325,10.6019,406.997,0
FP,4.95912,2.509,7440.0,22.9123,1419.0,673.55,5889.0,2.0,3.86,2458492.78078,111.716019,-50.266567,10.6254,360.541,0
PC,5.2341008,3.7078139,20796.9416293,24.2931408,1574.8381848,1453.6663847,7645.0,1.56203,4.3,2459232.446864,120.147994,-54.878552,10.6348,399.544,1
KP,4.4119378,3.65,15062.0,15.4706,1408.0,653.252,6280.0,1.21,4.32092,2460187.916571,87.139821,-63.988329,9.7109,175.631,2
